form_id,sense_id,headword,form_type,form_word,source,human_review,review_reason
sofa_n_1_form_1,sofa_n_1,sofa,plural,sofas,ECDICT.exchange,F,
blanket_n_1_form_1,blanket_n_1,blanket,plural,blankets,ECDICT.exchange,F,
pillow_n_1_form_1,pillow_n_1,pillow,plural,pillows,ECDICT.exchange,F,
mattress_n_1_form_1,mattress_n_1,mattress,plural,mattresses,ECDICT.exchange,F,
cup_n_1_form_1,cup_n_1,cup,plural,cups,ECDICT.exchange,F,
glass_n_1_form_1,glass_n_1,glass,plural,glasses,ECDICT.exchange,F,
object_n_1_form_1,object_n_1,object,plural,objects,ECDICT.exchange,F,
thing_n_1_form_1,thing_n_1,thing,plural,things,ECDICT.exchange,F,
box_n_1_form_1,box_n_1,box,plural,boxes,ECDICT.exchange,F,
bag_n_1_form_1,bag_n_1,bag,plural,bags,ECDICT.exchange,F,
bottle_n_1_form_1,bottle_n_1,bottle,plural,bottles,ECDICT.exchange,F,
knife_n_1_form_1,knife_n_1,knife,plural,knives,ECDICT.exchange,F,
television_n_1_form_1,television_n_1,television,plural,televisions,ECDICT.exchange,F,
dish_n_1_form_1,dish_n_1,dish,plural,dishes,ECDICT.exchange,F,
computer_n_1_form_1,computer_n_1,computer,plural,computers,ECDICT.exchange,F,
plate_n_1_form_1,plate_n_1,plate,plural,plates,ECDICT.exchange,F,
phone_n_1_form_2,phone_n_1,phone,plural,phones,ECDICT.exchange,F,
bowl_n_1_form_1,bowl_n_1,bowl,plural,bowls,ECDICT.exchange,F,
clock_n_1_form_1,clock_n_1,clock,plural,clocks,ECDICT.exchange,F,
towel_n_1_form_1,towel_n_1,towel,plural,towels,ECDICT.exchange,F,
spoon_n_1_form_1,spoon_n_1,spoon,plural,spoons,ECDICT.exchange,F,
carry_v_1_form_1,carry_v_1,carry,past_participle,carried,ECDICT.exchange,F,
carry_v_1_form_2,carry_v_1,carry,present_participle,carrying,ECDICT.exchange,F,
carry_v_1_form_3,carry_v_1,carry,past,carried,ECDICT.exchange,F,
carry_v_1_form_4,carry_v_1,carry,third_person_singular,carries,ECDICT.exchange,F,
fork_n_1_form_1,fork_n_1,fork,plural,forks,ECDICT.exchange,F,
pot_n_1_form_1,pot_n_1,pot,plural,pots,ECDICT.exchange,F,
put_v_1_form_5,put_v_1,put,present_participle,putting,ECDICT.exchange,F,
put_v_1_form_6,put_v_1,put,third_person_singular,puts,ECDICT.exchange,F,
keep_v_1_form_1,keep_v_1,keep,past,kept,ECDICT.exchange,F,
keep_v_1_form_2,keep_v_1,keep,past_participle,kept,ECDICT.exchange,F,
keep_v_1_form_3,keep_v_1,keep,present_participle,keeping,ECDICT.exchange,F,
keep_v_1_form_4,keep_v_1,keep,third_person_singular,keeps,ECDICT.exchange,F,
clean_v_1_form_1,clean_v_1,clean,present_participle,cleaning,ECDICT.exchange,F,
clean_v_1_form_2,clean_v_1,clean,past_participle,cleaned,ECDICT.exchange,F,
clean_v_1_form_4,clean_v_1,clean,past,cleaned,ECDICT.exchange,F,
clean_v_1_form_5,clean_v_1,clean,third_person_singular,cleans,ECDICT.exchange,F,
pan_n_1_form_1,pan_n_1,pan,plural,pans,ECDICT.exchange,F,
open_v_1_form_1,open_v_1,open,past,opened,ECDICT.exchange,F,
open_v_1_form_2,open_v_1,open,past_participle,opened,ECDICT.exchange,F,
open_v_1_form_3,open_v_1,open,present_participle,opening,ECDICT.exchange,F,
open_v_1_form_4,open_v_1,open,third_person_singular,opens,ECDICT.exchange,F,
soap_n_1_form_1,soap_n_1,soap,plural,soaps,ECDICT.exchange,F,
brush_n_1_form_3,brush_n_1,brush,plural,brushes,ECDICT.exchange,F,
fridge_n_1_form_1,fridge_n_1,fridge,plural,fridges,ECDICT.exchange,F,
use_v_1_form_1,use_v_1,use,past_participle,used,ECDICT.exchange,F,
use_v_1_form_2,use_v_1,use,present_participle,using,ECDICT.exchange,F,
use_v_1_form_3,use_v_1,use,past,used,ECDICT.exchange,F,
use_v_1_form_4,use_v_1,use,third_person_singular,uses,ECDICT.exchange,F,
need_v_1_form_2,need_v_1,need,third_person_singular,needs,ECDICT.exchange,F,
need_v_1_form_3,need_v_1,need,past_participle,needed,ECDICT.exchange,F,
need_v_1_form_4,need_v_1,need,past,needed,ECDICT.exchange,F,
need_v_1_form_5,need_v_1,need,present_participle,needing,ECDICT.exchange,F,
water_n_1_form_1,water_n_1,water,plural,waters,ECDICT.exchange,F,
wash_v_1_form_1,wash_v_1,wash,past_participle,washed,ECDICT.exchange,F,
wash_v_1_form_2,wash_v_1,wash,present_participle,washing,ECDICT.exchange,F,
wash_v_1_form_3,wash_v_1,wash,past,washed,ECDICT.exchange,F,
wash_v_1_form_5,wash_v_1,wash,third_person_singular,washes,ECDICT.exchange,F,
cook_v_1_form_1,cook_v_1,cook,present_participle,cooking,ECDICT.exchange,F,
cook_v_1_form_2,cook_v_1,cook,past_participle,cooked,ECDICT.exchange,F,
cook_v_1_form_3,cook_v_1,cook,past,cooked,ECDICT.exchange,F,
cook_v_1_form_5,cook_v_1,cook,third_person_singular,cooks,ECDICT.exchange,F,
