id,word_id,sense_id,form_type,form_text,source_id,human_review
e10775ad-7ba9-5e1c-aa79-b543bffbd958,15a42da7-5147-5479-9335-9f8eaaea45e2,4d821d2d-3e86-5b54-b816-520d416ff979,plural,bodies,20bba4df-8a16-5e63-b73e-951692d95379,false
ef2a5183-dd29-555b-9ab2-c258f5cf5f52,1cb14623-1200-5ba7-a056-f2deff8b2cff,947e0e3a-a3f0-5bf0-af58-dc9480d04017,plural,arms,20bba4df-8a16-5e63-b73e-951692d95379,false
27d4a138-0e6c-59cc-864d-71fd690cc5c0,3833f038-4cc6-5319-b24c-0acd97f6cae7,b484ebee-6873-5b66-94a7-25f82a549c06,plural,noses,20bba4df-8a16-5e63-b73e-951692d95379,false
23165542-8d59-5b88-b269-4d87893d5e0f,3c6e83b7-618d-57fa-8e52-50a19dadd32f,7c0ffc26-c970-5638-94ad-7d256b25dd8d,plural,mouths,20bba4df-8a16-5e63-b73e-951692d95379,false
39667209-400c-5881-87b2-c0e2babff85d,90585c4f-48f5-559c-8316-ea13c588c04c,f35b3ef4-4f5c-5ac8-bdc5-585516c726c0,plural,ears,20bba4df-8a16-5e63-b73e-951692d95379,false
8182c6f3-37d5-5334-9d77-e1cc4b67b943,432fe844-b79d-537b-8462-3c15ddb37834,93cf2c78-8fd9-57e9-939e-2b9da00cd239,plural,legs,20bba4df-8a16-5e63-b73e-951692d95379,false
32b5a7fc-86d2-5757-b399-267882bcdcba,3ed5237b-36e6-53e4-8573-a966df7525fa,450550ba-e299-5612-a11b-89aa0b30f03f,plural,teeth,20bba4df-8a16-5e63-b73e-951692d95379,false
9e3bb28f-c104-58c3-b779-81f5f0e0a07b,960743a8-92c0-5f06-b3b2-678fae636019,244be9df-1d0d-5f95-99fc-c3a34f45c3f2,plural,looks,20bba4df-8a16-5e63-b73e-951692d95379,false
d9560d65-75e9-5558-9ed2-623d55adb33a,81f8e222-59c9-5600-8954-245c78d2fca4,81d3908d-2fed-5641-8960-ca7e2f7e01f8,past,laughed,20bba4df-8a16-5e63-b73e-951692d95379,false
f6191cc1-b674-5101-a5dd-0fe85a702055,81f8e222-59c9-5600-8954-245c78d2fca4,81d3908d-2fed-5641-8960-ca7e2f7e01f8,present_participle,laughing,20bba4df-8a16-5e63-b73e-951692d95379,false
d171d94e-0b63-5311-b1c7-9d20ffa464a3,81f8e222-59c9-5600-8954-245c78d2fca4,81d3908d-2fed-5641-8960-ca7e2f7e01f8,third_person_singular,laughs,20bba4df-8a16-5e63-b73e-951692d95379,false
1ccab54f-893b-5ab1-8213-f92b06a4fd84,81f8e222-59c9-5600-8954-245c78d2fca4,81d3908d-2fed-5641-8960-ca7e2f7e01f8,past_participle,laughed,20bba4df-8a16-5e63-b73e-951692d95379,false
bd066ff2-7c9e-5c5e-91de-2ae244a326b4,b853e40a-3e3b-5721-9225-1b62770c4632,67d7c662-bb72-5c82-96ce-d131dfd0e97f,plural,voices,20bba4df-8a16-5e63-b73e-951692d95379,false
3533e264-694f-58a2-b204-1c7298ca4f8b,31c22836-e2ed-56b7-829b-9d7232a7b38f,5c515fef-fdba-5716-a3e1-f539ab48cdd9,past,smiled,20bba4df-8a16-5e63-b73e-951692d95379,false
a529f769-2569-58ab-b3a5-019bd9c60cb2,31c22836-e2ed-56b7-829b-9d7232a7b38f,5c515fef-fdba-5716-a3e1-f539ab48cdd9,present_participle,smiling,20bba4df-8a16-5e63-b73e-951692d95379,false
c08d1b77-d17c-56ab-a9b8-077d50e48ed0,31c22836-e2ed-56b7-829b-9d7232a7b38f,5c515fef-fdba-5716-a3e1-f539ab48cdd9,third_person_singular,smiles,20bba4df-8a16-5e63-b73e-951692d95379,false
220957ef-4826-54a4-8fb5-0bf652506bd1,31c22836-e2ed-56b7-829b-9d7232a7b38f,5c515fef-fdba-5716-a3e1-f539ab48cdd9,past_participle,smiled,20bba4df-8a16-5e63-b73e-951692d95379,false
81d0a919-52c3-54b5-bf6d-ddec3870fd10,dec0ef55-1ff4-5e06-9bb3-1a7e4175f022,7bae26df-f96b-5fbc-93fa-34436a3a6998,plural,appearances,20bba4df-8a16-5e63-b73e-951692d95379,false
f385c7c0-7ea0-5b6c-a976-0017db00c644,384ab201-b0e0-5299-ad2c-689a7b0efb69,a2f63f21-8d8b-50ad-bebf-8eccc7a44ad4,superlative,cutest,20bba4df-8a16-5e63-b73e-951692d95379,false
1b200c10-b2a7-522c-b7f3-4275d4f5bd34,384ab201-b0e0-5299-ad2c-689a7b0efb69,a2f63f21-8d8b-50ad-bebf-8eccc7a44ad4,comparative,cuter,20bba4df-8a16-5e63-b73e-951692d95379,false
b9f82df2-be17-5e90-baf2-5b8236d942a9,ea820e43-f956-5ddf-a55b-17b0cdc22fcb,03331618-dfd4-56c7-b9cc-44ef66b709db,superlative,most handsome,20bba4df-8a16-5e63-b73e-951692d95379,false
3f6d9823-cc13-5706-9fee-56165493e121,ea820e43-f956-5ddf-a55b-17b0cdc22fcb,03331618-dfd4-56c7-b9cc-44ef66b709db,comparative,more handsome,20bba4df-8a16-5e63-b73e-951692d95379,false
108b1b24-4a60-5144-bc3a-e9b4be77ae9a,2c24318c-5c70-5e7d-9e49-4bb171c7fce1,f977eef8-e770-5a99-871c-37d92284bc0c,plural,beards,20bba4df-8a16-5e63-b73e-951692d95379,false
0f736783-2f94-5917-98a2-9e2d2080593a,cf5f04de-92b8-5b10-873d-bf9e2f77e6d9,10b7ebce-3330-5b7b-854a-3c42d11900f0,comparative,slimmer,20bba4df-8a16-5e63-b73e-951692d95379,false
6f8467c2-b69d-5d8f-98d5-e81f123347f9,cf5f04de-92b8-5b10-873d-bf9e2f77e6d9,10b7ebce-3330-5b7b-854a-3c42d11900f0,superlative,slimmest,20bba4df-8a16-5e63-b73e-951692d95379,false
9a8dcd2a-cf70-56e0-bffc-06ee76de7980,9ecc3abc-0829-52c7-8751-8697a11a8a35,d8aa4592-9f8d-50ee-989b-e391761ce82c,past,cared,20bba4df-8a16-5e63-b73e-951692d95379,false
4a98ad70-1ff1-55c6-a03f-7ddc9f961038,9ecc3abc-0829-52c7-8751-8697a11a8a35,d8aa4592-9f8d-50ee-989b-e391761ce82c,third_person_singular,cares,20bba4df-8a16-5e63-b73e-951692d95379,false
4936b1c5-f61a-51a1-99c4-ecc2fedf9ba9,9ecc3abc-0829-52c7-8751-8697a11a8a35,d8aa4592-9f8d-50ee-989b-e391761ce82c,past_participle,cared,20bba4df-8a16-5e63-b73e-951692d95379,false
cfad9d51-04d5-53a8-9bc4-8a6981c6cc3b,9ecc3abc-0829-52c7-8751-8697a11a8a35,d8aa4592-9f8d-50ee-989b-e391761ce82c,present_participle,caring,20bba4df-8a16-5e63-b73e-951692d95379,false
00d36050-7352-572c-94ec-641638b6b2eb,23949bce-ce3a-57b5-bc72-a35066f91bc4,de4404c1-3d3b-502d-9b7a-42b14ee4769b,past_participle,supported,20bba4df-8a16-5e63-b73e-951692d95379,false
